time_period,Time,Gender,Gender_Color,Native_Language,Language_Color,Nationality,Nationality_Color,Name,Link
2010,2012,Male,blue,Czech,#DAD384,Czech Republic,#E9971E,Elm,
2010,2012,Male,blue,Danish,#10909E,Danmark,#DAE000,TypeScript,
2010,2012,Male,blue,English,green,America,#A40B5D,Julia,
2010,2012,Company,#727171,English,green,America,#A40B5D,P,
2010,2013,Male,blue,Danish,#10909E,Danmark,#DAE000,Cuneiform,
2010,2014,Male,blue,Spanish,#DCDDDD,Agentina,#914B99,Crystal,
2010,2014,Company,#727171,English,green,America,#A40B5D,Hack,
2010,2014,Company,#727171,English,green,America,#A40B5D,Swift,
2010,2015,Group,#727171,/,#B5B5B6,/,,Perl 6,
2010,2015,Male,blue,French,#2EA7E0,France,#ECAB43,SpiderBasic,
2010,2016,Male,blue,Egyptian,,Egypt,,Ring,
2010,2017,Group,#727171,/,#B5B5B6,/,,Ballerina,
2010,2018,Group,#727171,/ ,#B5B5B6,/,,Fortran 2018,
